,state,candidate1,candidate2,party1,party2,percentage1,percentage2,incumbent,name_woman1,party_woman1,result_woman1,status_woman1,name_woman2,party_woman2,result_woman2,status_woman2
0,AZ,Kyrsten Sinema,Martha McSally,Democratic,Republican,50.0,47.6,Republican,Kyrsten Sinema,Democratic,WON,O,Martha McSally,Republican,Lost,O
1,CA,Dianne Feinstein,Kevin de León,Democratic,Democratic,54.2,45.8,Democratic,Dianne Feinstein,Democratic,WON,I,,,,
2,CT,Chris Murphy,Matthew Corey,Democratic,Republican,59.5,39.4,Democratic,,,,,,,,
3,DE,Tom Carper,Rob Arlett,Democratic,Republican,60.0,37.8,Democratic,,,,,,,,
4,FL,Rick Scott,Bill Nelson,Republican,Democratic,50.06,49.93,Democratic,,,,,,,,
5,HI,Mazie Hirono,Ron Curtis,Democratic,Republican,71.2,28.8,Democratic,Mazie K. Hirono,Democratic,WON,I,,,,
6,IN,Mike Braun,Joe Donnelly,Republican,Democratic,50.7,44.8,Democratic,,,,,,,,
7,ME,Angus King,Eric Brakey,Independent,Republican,54.3,35.2,Independent,,,,,,,,
8,MD,Ben Cardin,Tony Campbell,Democratic,Republican,64.9,30.3,Democratic,,,,,,,,
9,MA,Elizabeth Warren,Geoff Diehl,Democratic,Republican,60.3,36.2,Democratic,Elizabeth A. Warren,Democratic,WON,I,,,,
10,MI,Debbie Stabenow,John James,Democratic,Republican,52.3,45.8,Democratic,Debbie A. Stabenow,Democratic,WON,I,,,,
11,MN,Amy Klobuchar,Jim Newberger,Democratic–Farmer–Labor,Republican,60.3,36.2,Democratic–Farmer–Labor,Amy Klobuchar,Democratic,WON,I,,,,
12,MS,Roger Wicker,David Baria,Republican,Democratic,58.5,39.5,Republican,Cindy Hyde-Smith,Republican,WON,I,,,,
13,MO,Josh Hawley,Claire McCaskill,Republican,Democratic,51.4,45.6,Democratic,Claire McCaskill,Democratic,Lost,I,,,,
14,MT,Jon Tester,Matt Rosendale,Democratic,Republican,50.3,46.8,Democratic,,,,,,,,
15,NE,Deb Fischer,Jane Raybould,Republican,Democratic,57.7,38.6,Republican,Deb Fischer,Republican,WON,I,Jane Raybould,Democratic,Lost,C
16,NV,Jacky Rosen,Dean Heller,Democratic,Republican,50.4,45.4,Republican,Jacklyn S. Rosen,Democratic,WON,C,,,,
17,NJ,Bob Menendez,Bob Hugin,Democratic,Republican,54.0,42.8,Democratic,,,,,,,,
18,NM,Martin Heinrich,Mick Rich,Democratic,Republican,54.1,30.5,Democratic,,,,,,,,
19,NY,Kirsten Gillibrand,Chele Farley,Democratic,Republican,67.0,33.0,Democratic,Kirsten E. Gillibrand,Democratic,WON,I,Chele Chiavacci Farley,Republican,Lost,C
20,ND,Kevin Cramer,Heidi Heitkamp,Republican,Democratic-NPL,55.1,44.3,Democratic-NPL,Heidi Heitkamp,Democratic,Lost,I,,,,
21,OH,Sherrod Brown,Jim Renacci,Democratic,Republican,53.4,46.6,Democratic,,,,,,,,
22,PA,Bob Casey Jr.,Lou Barletta,Democratic,Republican,55.7,42.6,Democratic,,,,,,,,
23,RI,Sheldon Whitehouse,Robert Flanders,Democratic,Republican,61.4,38.3,Democratic,,,,,,,,
24,TN,Marsha Blackburn,Phil Bredesen,Republican,Democratic,54.7,43.9,Republican,Marsha Blackburn,Republican,WON,O,,,,
25,TX,Ted Cruz,Beto O'Rourke,Republican,Democratic,50.9,48.3,Republican,,,,,,,,
26,UT,Mitt Romney,Jenny Wilson,Republican,Democratic,62.6,30.9,Republican,Jenny Wilson,Democratic,Lost,O,,,,
27,VT,Bernie Sanders,Lawrence Zupan,Independent,Republican,67.4,27.5,Independent,,,,,,,,
28,VA,Tim Kaine,Corey Stewart,Democratic,Republican,57.0,41.0,Democratic,,,,,,,,
29,WA,Maria Cantwell,Susan Hutchison,Democratic,Republican,58.4,41.6,Democratic,Maria Cantwell,Democratic,WON,I,Susan Hutchison,Republican,Lost,C
30,WV,Joe Manchin,Patrick Morrisey,Democratic,Republican,49.6,46.3,Democratic,,,,,,,,
31,WI,Tammy Baldwin,Leah Vukmir,Democratic,Republican,55.4,44.5,Democratic,Tammy Baldwin,Democratic,WON,I,Leah Vukmir,Republican,Lost,C
32,WY,John Barrasso,Gary Trauner,Republican,Democratic,67.0,30.1,Republican,,,,,,,,
